Attrition,age,BusinessTravel,Department,gender,JobSatisfaction,monthlyincome,overtime,Age_Band
Yes,41,Travel_Rarely,Sales,Female,4,5993,Yes,Experienced(30-50)
No,49,Travel_Frequently,Research & Development,Male,2,5130,No,Experienced(30-50)
Yes,37,Travel_Rarely,Research & Development,Male,3,2090,Yes,Experienced(30-50)
No,33,Travel_Frequently,Research & Development,Female,3,2909,Yes,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Male,2,3468,No,Rookie(below 30)
No,32,Travel_Frequently,Research & Development,Male,4,3068,No,Experienced(30-50)
No,59,Travel_Rarely,Research & Development,Female,1,2670,Yes,Senior(50-60)
No,30,Travel_Rarely,Research & Development,Male,3,2693,No,Rookie(below 30)
No,38,Travel_Frequently,Research & Development,Male,3,9526,No,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Male,3,5237,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Male,2,2426,No,Experienced(30-50)
No,29,Travel_Rarely,Research & Development,Female,3,4193,Yes,Rookie(below 30)
No,31,Travel_Rarely,Research & Development,Male,3,2911,No,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Male,4,2661,No,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Male,3,2028,Yes,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Female,1,9980,No,Rookie(below 30)
No,32,Travel_Rarely,Research & Development,Male,2,3298,Yes,Experienced(30-50)
No,22,Non-Travel,Research & Development,Male,4,2935,Yes,Rookie(below 30)
No,53,Travel_Rarely,Sales,Female,4,15427,No,Senior(50-60)
No,38,Travel_Rarely,Research & Development,Male,4,3944,Yes,Experienced(30-50)
No,24,Non-Travel,Research & Development,Female,3,4011,No,Rookie(below 30)
Yes,36,Travel_Rarely,Sales,Male,1,3407,No,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,2,11994,No,Experienced(30-50)
No,21,Travel_Rarely,Research & Development,Male,4,1232,No,Rookie(below 30)
Yes,34,Travel_Rarely,Research & Development,Male,1,2960,No,Experienced(30-50)
No,53,Travel_Rarely,Research & Development,Female,3,19094,No,Senior(50-60)
Yes,32,Travel_Frequently,Research & Development,Female,1,3919,Yes,Experienced(30-50)
No,42,Travel_Rarely,Sales,Male,2,6825,No,Experienced(30-50)
No,44,Travel_Rarely,Research & Development,Female,4,10248,No,Experienced(30-50)
No,46,Travel_Rarely,Sales,Female,1,18947,No,Experienced(30-50)
No,33,Travel_Rarely,Research & Development,Male,4,2496,No,Experienced(30-50)
No,44,Travel_Rarely,Research & Development,Male,4,6465,Yes,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Male,3,2206,No,Rookie(below 30)
Yes,39,Travel_Rarely,Sales,Male,4,2086,No,Experienced(30-50)
Yes,24,Travel_Rarely,Research & Development,Male,4,2293,Yes,Rookie(below 30)
No,43,Travel_Rarely,Research & Development,Female,3,2645,No,Experienced(30-50)
Yes,50,Travel_Rarely,Sales,Male,3,2683,Yes,Experienced(30-50)
No,35,Travel_Rarely,Sales,Female,4,2014,No,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Female,1,3419,Yes,Experienced(30-50)
No,33,Travel_Frequently,Sales,Female,1,5376,No,Experienced(30-50)
